ID,sector,source,year,value,units
20,Residential,Total Energy,1998,18951.919,Trillion Btu
20,Industrial,Total Energy,1998,34841.11,Trillion Btu
20,Transportation,Total Energy,1998,25224.513,Trillion Btu
20,Commercial,Total Energy,1998,15967.448,Trillion Btu
19,Industrial,Total Energy,1999,34762.524,Trillion Btu
19,Residential,Total Energy,1999,19553.511,Trillion Btu
19,Commercial,Total Energy,1999,16376.239,Trillion Btu
19,Transportation,Total Energy,1999,25916.02,Trillion Btu
18,Industrial,Total Energy,2000,34662.13,Trillion Btu
18,Residential,Total Energy,2000,20421.041,Trillion Btu
18,Commercial,Total Energy,2000,17175.294,Trillion Btu
18,Transportation,Total Energy,2000,26515.505,Trillion Btu
17,Transportation,Total Energy,2001,26242.128,Trillion Btu
17,Industrial,Total Energy,2001,32718.499,Trillion Btu
17,Residential,Total Energy,2001,20037.592,Trillion Btu
17,Commercial,Total Energy,2001,17136.724,Trillion Btu
16,Residential,Total Energy,2002,20785.794,Trillion Btu
16,Commercial,Total Energy,2002,17345.692,Trillion Btu
16,Industrial,Total Energy,2002,32660.366,Trillion Btu
16,Transportation,Total Energy,2002,26807.811,Trillion Btu
15,Commercial,Total Energy,2003,17346.089,Trillion Btu
15,Transportation,Total Energy,2003,26881.05,Trillion Btu
15,Industrial,Total Energy,2003,32552.715,Trillion Btu
15,Residential,Total Energy,2003,21119.32,Trillion Btu
14,Transportation,Total Energy,2004,27826.509,Trillion Btu
14,Commercial,Total Energy,2004,17655.462,Trillion Btu
14,Industrial,Total Energy,2004,33515.28,Trillion Btu
14,Residential,Total Energy,2004,21081.388,Trillion Btu
13,Transportation,Total Energy,2005,28260.752,Trillion Btu
13,Commercial,Total Energy,2005,17853.445,Trillion Btu
13,Residential,Total Energy,2005,21612.646,Trillion Btu
13,Industrial,Total Energy,2005,32441.115,Trillion Btu
12,Residential,Total Energy,2006,20670.321,Trillion Btu
12,Commercial,Total Energy,2006,17707.235,Trillion Btu
12,Transportation,Total Energy,2006,28696.876,Trillion Btu
12,Industrial,Total Energy,2006,32390.355,Trillion Btu
11,Residential,Total Energy,2007,21518.992,Trillion Btu
11,Commercial,Total Energy,2007,18252.918,Trillion Btu
11,Transportation,Total Energy,2007,28815.197,Trillion Btu
11,Industrial,Total Energy,2007,32384.515,Trillion Btu
